,DATE,RADN,TMAX_AIR,TMIN_AIR,HMAX_AIR,HMIN_AIR,WIND,PRECN,TMAX_SOIL_1,TMIN_SOIL_1,TMAX_SOIL_2,TMIN_SOIL_2,TMAX_SOIL_3,TMIN_SOIL_3,TMAX_SOIL_4,TMIN_SOIL_4,TMAX_SOIL_5,TMIN_SOIL_5,TMAX_SOIL_6,TMIN_SOIL_6,TMAX_SOIL_7,TMIN_SOIL_7,TMAX_SOIL_8,TMIN_SOIL_8,TMAX_SOIL_9,TMIN_SOIL_9,TMAX_SOIL_10,TMIN_SOIL_10,TMAX_SOIL_11,TMIN_SOIL_11,TMAX_SOIL_12,TMIN_SOIL_12,TMAX_SOIL_13,TMIN_SOIL_13,TMAX_SOIL_14,TMIN_SOIL_14,TMAX_LITTER,TMIN_LITTER,ECND_1,ECND_2,ECND_3,ECND_4,ECND_5,ECND_6,ECND_7,ECND_8,ECND_9,ECND_10,ECND_11,ECND_12,TTL_SALT_DISCHG,unnamed.1
10,11012001.0,7.525189,6.872879,-2.282282,0.7921899,0.4351069,304.6488,0.0,11.74625,-0.4207764,8.627594,0.9454651,6.951965,2.033569,6.080017,3.079224,5.756042,3.800476,5.657837,4.600342,5.880829,5.303223,6.432526,6.304901,7.80658,7.626129,9.037781,8.873688,9.658295,9.538025,10.00632,9.933228,10.1344,10.10529,10.15942,10.15262,16.19666,-3.493744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,12012001.0,8.739968,-0.349343,-5.564268,0.5257087,0.3584645,310.8099,2.54,8.932037,-1.089233,6.464203,0.5113525,5.418121,1.793243,4.996368,2.995941,5.218567,3.779755,5.614685,4.602234,5.883881,5.291321,6.387787,6.233398,7.624603,7.490662,8.871979,8.72168,9.536743,9.419525,9.932465,9.857483,10.10495,10.07068,10.15253,10.1402,9.362061,-5.341034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,13012001.0,5.523043,1.317323,-4.063434,0.5923261,0.4008357,313.2281,7.62,1.810455,-0.5926819,2.268402,0.9100037,2.729553,2.043915,3.425873,2.923157,4.140472,3.552826,4.90152,4.228088,5.462524,4.878265,6.232452,5.906586,7.489166,7.31723,8.720154,8.577606,9.418304,9.305115,9.856689,9.779297,10.07028,10.03168,10.14001,10.12259,0.6496277,-3.135132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,14012001.0,3.768916,-1.460454,-4.018258,0.485119,0.4021791,313.1647,0.0,1.836273,1.620667,2.301727,2.170715,2.756714,2.677704,3.266174,3.229828,3.695923,3.651733,4.240662,4.172089,4.877258,4.755341,5.903534,5.687256,7.315094,7.114594,8.576111,8.429932,9.303955,9.192047,9.778473,9.700775,10.03122,9.988892,10.12238,10.10007,0.6539612,0.3161316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,15012001.0,5.333638,-0.904899,-5.567048,0.5050469,0.3583902,312.2102,0.0,2.347687,1.471985,2.633179,2.035675,2.957642,2.556519,3.360443,3.112823,3.69751,3.542389,4.170837,4.066681,4.754089,4.639343,5.685455,5.52243,7.112579,6.931244,8.428375,8.279602,9.190826,9.078369,9.699921,9.62085,9.988403,9.942627,10.09979,10.07306,1.777893,0.1743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,16012001.0,5.069305,-3.127121,-6.075665,0.4295012,0.3449763,310.7349,0.0,2.30835,1.703064,2.614563,2.233856,2.948944,2.714325,3.358704,3.218567,3.698364,3.606415,4.135651,4.080353,4.654327,4.602478,5.521179,5.419861,6.929443,6.774567,8.278046,8.133545,9.077209,8.964386,9.620026,9.539764,9.942139,9.893188,10.07272,10.0416,1.731812,0.5224915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,17012001.0,5.811482,1.317323,-7.048423,0.5923261,0.3205725,312.0096,0.0,2.301178,1.496033,2.62616,2.06604,2.946777,2.573364,3.317963,3.101349,3.661774,3.502441,4.102448,3.983978,4.603149,4.502899,5.418945,5.312012,6.773071,6.638855,8.13208,7.995728,8.963226,8.851746,9.538879,9.456879,9.89267,9.840637,10.04123,10.00668,1.653839,0.2230225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,18012001.0,7.91695,0.761768,-11.45815,0.5693237,0.2198786,317.0184,0.0,2.290802,1.270355,2.627686,2.03006,2.951721,2.553986,3.327759,3.078857,3.638641,3.470398,4.038086,3.934692,4.51413,4.427734,5.311066,5.218933,6.637482,6.515656,7.994415,7.866516,8.850555,8.741882,9.456055,9.37442,9.840057,9.785522,10.00632,9.968048,1.707794,-0.4708252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,19012001.0,10.23249,-12.57157,-17.06788,0.2091749,0.1457667,320.4672,0.0,1.181488,-0.2362366,2.063629,0.6322021,2.651764,1.395752,3.148651,2.166656,3.504089,2.725067,3.938416,3.392212,4.427185,4.048309,5.217926,5.0271,6.514404,6.388214,7.865204,7.743134,8.740753,8.635223,9.373566,9.290619,9.784943,9.728119,9.967621,9.926117,0.2305908,-1.722168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,20012001.0,7.688144,1.317323,-17.49588,0.5923261,0.1407475,316.9882,0.0,0.8212891,-0.3291321,1.16568,0.4709473,1.593292,1.1651,2.155914,1.888641,2.715881,2.430908,3.385284,3.05603,4.043488,3.703278,5.024323,4.72644,6.386688,6.215302,7.741882,7.618134,8.634155,8.530609,9.289734,9.207245,9.727509,9.66864,9.925629,9.881165,0.5068665,-1.866394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,21012001.0,10.34449,-1.460454,-14.52479,0.485119,0.1790784,316.9955,0.0,0.6795654,-0.7650757,0.9783325,0.201355,1.373566,0.9111633,2.012695,1.63443,2.491241,2.175079,3.066711,2.808929,3.702026,3.454926,4.723938,4.478729,6.213318,6.022278,7.616791,7.48407,8.529541,8.425018,9.20636,9.12326,9.667999,9.606964,9.880676,9.833466,0.7987671,-2.621735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,22012001.0,9.291799,11.31732,-9.983374,0.9437403,0.2560749,315.1385,0.0,2.745575,-1.389618,2.071747,-0.1510315,1.972595,0.5712585,2.162476,1.310181,2.415436,1.851807,2.809021,2.504333,3.453125,3.190216,4.476562,4.247009,6.020264,5.826385,7.482635,7.342804,8.423889,8.315063,9.122345,9.037781,9.606293,9.543915,9.832977,9.783264,3.377655,-3.659485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,23012001.0,10.6688,5.206212,-8.02396,0.7374179,0.2976725,316.0434,0.0,5.140564,-1.346008,3.470764,-0.143219,2.842102,0.5994873,2.679077,1.341827,2.743713,1.885071,2.970886,2.519257,3.396515,3.154205,4.246216,4.142944,5.824371,5.653748,7.341278,7.1987,8.313873,8.202942,9.036835,8.951019,9.543274,9.47876,9.782745,9.730682,6.14212,-3.975006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,24012001.0,10.03106,-3.682677,-11.25914,0.4122783,0.2318878,313.7822,1.27,1.717712,-2.710785,1.198669,-0.3566589,1.309448,0.412262,2.015198,1.192657,2.465851,1.748932,2.946899,2.40686,3.397705,3.049683,4.15741,4.023468,5.652191,5.516571,7.197266,7.060547,8.201752,8.089661,8.950104,8.862823,9.478058,9.411713,9.730133,9.676117,3.820953,-7.032715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,25012001.0,10.24642,1.317323,-15.00839,0.5923261,0.1722586,306.7605,3.81,-0.3636169,-2.581116,-0.07785034,-0.3534241,0.4508057,0.3699646,1.18042,1.037903,1.738586,1.504913,2.399933,2.088928,3.045624,2.745026,4.021545,3.789001,5.515045,5.357544,7.059143,6.92627,8.088501,7.977264,8.861877,8.773102,9.41098,9.342926,9.675598,9.619476,-0.6539612,-6.994934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,26012001.0,8.399737,-2.571566,-13.53536,0.4473677,0.1937963,307.2665,0.0,-0.4252014,-0.6219177,-0.0819397,-0.1131592,0.4464111,0.4116516,1.03717,0.9745483,1.504089,1.418671,2.087708,1.973663,2.743286,2.599945,3.786743,3.603882,5.355774,5.187317,6.924835,6.789337,7.976074,7.864899,8.772186,8.682159,9.342224,9.272125,9.618896,9.560791,-0.8623962,-1.666046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,27012001.0,10.56867,-0.349343,-15.01673,0.5257087,0.1721431,315.7996,0.254,-0.2671204,-0.7394409,0.09832764,-0.1306763,0.5123291,0.3796082,0.9962463,0.9346008,1.417725,1.363403,1.972626,1.8909,2.598633,2.488068,3.602203,3.457031,5.185577,5.028351,6.787964,6.652069,7.863739,7.751251,8.681183,8.590515,9.271393,9.19928,9.56012,9.499847,-0.5266113,-1.98291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,28012001.0,10.57361,-0.349343,-12.52924,0.5257087,0.2098749,315.3141,3.429,0.08966064,-0.5975342,0.4040222,-0.02355957,0.7440796,0.4535828,1.142517,0.9695129,1.480988,1.375824,1.919159,1.880096,2.48764,2.449738,3.455719,3.355316,5.026764,4.886932,6.650635,6.517395,7.750092,7.637543,8.5896,8.498016,9.198486,9.125153,9.499207,9.437408,-0.3850098,-1.711029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,29012001.0,3.348194,-0.904899,-3.833143,0.5050469,0.4077224,317.0462,8.128,0.6034851,-0.07043457,0.9070435,0.391571,1.178741,0.7461548,1.495941,1.146271,1.765076,1.484009,2.114838,1.920837,2.562592,2.457916,3.354553,3.328735,4.885559,4.773529,6.516052,6.389069,7.636353,7.524902,8.49707,8.404694,9.124359,9.049408,9.436768,9.373016,0.02709961,-0.890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,30012001.0,3.12278,-0.904899,-3.868629,0.5050469,0.4066543,319.5124,0.381,0.8451233,0.5989075,1.140686,0.908844,1.409241,1.18161,1.713104,1.499054,1.963898,1.767914,2.285858,2.117249,2.68689,2.564209,3.370789,3.331543,4.772552,4.699951,6.387756,6.273346,7.523773,7.415497,8.403748,8.311096,9.048645,8.972198,9.372345,9.307037,0.227417,0.02822876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,31012001.0,6.721342,1.872879,-7.829183,0.6161601,0.2935334,320.5906,0.0,1.12442,0.8461609,1.375977,1.141663,1.615479,1.410583,1.891907,1.714783,2.122253,1.965576,2.418793,2.287445,2.788879,2.68811,3.419952,3.371307,4.699371,4.656708,6.272186,6.172852,7.414398,7.311249,8.31012,8.218079,8.971405,8.894012,9.306335,9.239166,0.4032898,0.1196899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,1022001.0,11.11586,-3.682677,-16.79636,0.4122783,0.1457599,327.6288,0.0,1.131683,0.8014221,1.386292,1.194519,1.631531,1.517731,1.915192,1.854858,2.150085,2.118958,2.456543,2.420288,2.833618,2.790039,3.458649,3.420471,4.656342,4.630219,6.171875,6.087341,7.310181,7.214661,8.217133,8.126678,8.893188,8.814911,9.238495,9.169891,0.4064636,-0.08721924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,2022001.0,12.43035,-3.127121,-23.4881,0.4295012,0.08509428,322.0728,0.0,0.792572,0.3920898,1.187195,0.8620605,1.522095,1.260559,1.864716,1.670349,2.127838,1.981842,2.455048,2.356689,2.834473,2.770111,3.461853,3.439545,4.629974,4.602295,6.086548,6.013519,7.213684,7.125549,8.125732,8.03772,8.814087,8.734436,9.169159,9.099426,0.1163025,-0.5393372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,3022001.0,12.65014,6.317323,-21.45085,0.7820684,0.1012434,316.5528,0.0,0.9620361,0.2715454,1.200378,0.7431946,1.445709,1.149139,1.738953,1.570618,2.00885,1.892883,2.361267,2.27594,2.77005,2.701874,3.439148,3.387207,4.601898,4.559784,6.012787,5.94577,7.124664,7.042755,8.036743,7.951538,8.733582,8.65567,9.098724,9.028168,0.3477783,-0.6062927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,4022001.0,9.455064,2.98399,-5.429086,0.6664237,0.3621087,317.4926,0.0,1.044006,0.9648438,1.296387,1.203583,1.559143,1.449036,1.859528,1.741913,2.102814,1.990692,2.410858,2.312988,2.775879,2.713318,3.38678,3.379333,4.559265,4.514862,5.945099,5.879944,7.041901,6.964325,7.950684,7.868469,8.654846,8.577148,9.027435,8.956329,0.3821411,0.304657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,5022001.0,8.19388,7.98399,-3.532577,0.8461978,0.4168694,317.0708,0.0,1.147675,0.7835999,1.343872,1.108368,1.59317,1.467194,1.890747,1.820953,2.131592,2.088806,2.436401,2.411346,2.795807,2.776215,3.390686,3.383331,4.514435,4.481354,5.879242,5.817413,6.963531,6.889008,7.867615,7.787598,8.576324,8.499542,8.955566,8.884338,0.9140625,0.3593445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,6022001.0,10.88341,2.428434,-4.057874,0.6408501,0.4010014,312.4968,0.127,1.631775,0.2948303,1.622437,0.9402466,1.753448,1.424408,1.976929,1.826691,2.18454,2.093079,2.46286,2.418762,2.809357,2.786987,3.38974,3.38504,4.481049,4.451935,5.816772,5.759521,6.888245,6.817169,7.786743,7.709686,8.498718,8.42276,8.883606,8.812164,1.956604,-0.6036377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
