,DATE,SOL_RADN,AIR_TEMP,HUM,WIND,PREC,SOIL_RN,SOIL_LE,SOIL_H,SOIL_G,ECO_RN,ECO_LE,ECO_H,ECO_G,TEMP_1,TEMP_2,TEMP_3,TEMP_4,TEMP_5,TEMP_6,TEMP_7,TEMP_8,TEMP_9,TEMP_10,TEMP_11,TEMP_12,TEMP_13,TEMP_14,TEMP_15,TEMP_16,TEMP_17,TEMP_18,TEMP_19,TEMP_20,TEMP_LITTER,TEMP_SNOW,TEMP_CAN_AIR,HUM_CAN_AIR
0,2001-01-01,82.17989458333334,-14.807388333333334,0.18045224583333333,3.525349208333333,0.0,-30.820192083333335,-15.735317458333334,-54.439589000000005,100.99510149999999,-30.820192083333335,-15.735317458333334,-54.439589000000005,100.99510149999999,-0.17923101583333337,4.164412217083334,6.918318541666667,8.983235916666667,9.99086375,10.889542958333335,11.206691833333332,11.383439166666667,11.138142916666666,10.743711666666668,10.412067083333334,10.24693375,10.077459583333333,10.024430833333334,0.0,0.0,0.0,0.0,0.0,0.0,-9.4792972125,-14.807385416666667,-12.634896875,0.21994239583333333
1,2001-01-02,94.013648,-11.458358291666668,0.24578392500000001,3.525349208333333,0.0,-5.638387249999998,-10.271926497083333,-23.063026875000002,38.97334,-5.638387249999998,-10.271926497083333,-23.063026875000002,38.97334,-2.8884314708333334,-0.11881763791666666,1.683260625,3.6232998333333337,5.058956083333333,6.772673291666667,8.261245708333332,10.167022375,10.937415833333333,10.744598333333334,10.4646825,10.261905833333334,10.104817916666667,10.044553333333333,0.0,0.0,0.0,0.0,0.0,0.0,-9.119061,-11.458354833333333,-10.519011625,0.2741272375
2,2001-01-03,101.13232041666667,-5.878653458333333,0.38731164166666665,3.525349208333333,0.0,11.371556666666665,-11.232330316666667,-13.778565619166665,13.639338333333333,11.371556666666665,-11.232330316666667,-13.778565619166665,13.639338333333333,-1.1535974041666666,-0.001895897499999995,1.2510236583333334,2.659145458333333,3.7602056249999998,5.124246,6.5368320833333335,8.615795208333333,10.344084166666667,10.657517916666666,10.479355833333333,10.283006666666667,10.129327083333333,10.06514125,0.0,0.0,0.0,0.0,0.0,0.0,-4.564431766666666,-5.878653441666667,-5.392764683333333,0.41949970416666665
3,2001-01-04,95.2967335,0.8975295833333333,0.5866730041666667,3.525349208333333,0.0,21.5916675,-11.481476612500002,-1.4335964999999995,-8.676596291666668,21.5916675,-11.481476612500002,-1.4335964999999995,-8.676596291666668,1.7051695541666667,2.1487452125,2.6242713375,3.281678583333333,3.89750925,4.728007125,5.803681833333333,7.574740041666666,9.644006166666665,10.458366666666667,10.445216666666667,10.29707625,10.151301666666667,10.08585625,0.0,0.0,0.0,0.0,0.0,0.0,0.5807788166666666,0.8975245666666666,0.6570599666666668,0.6186373291666667
4,2001-01-05,94.174456625,2.3200397083333333,0.6332019791666667,3.525349208333333,0.0,21.498072916666672,-16.929706399583335,-6.402673208333334,1.8343092500000011,21.498072916666672,-16.929706399583335,-6.402673208333334,1.8343092500000011,3.722305458333333,3.9411646958333333,4.188165041666667,4.535840166666667,4.870910625,5.332617583333334,5.9948591250000005,7.166078,9.060928416666666,10.190929166666667,10.360820833333333,10.294540833333334,10.169702083333332,10.105901666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.7819799708333335,2.3200377291666667,2.3720232533333334,0.6821553499999999
5,2001-01-06,93.05621925000001,3.662090958333333,0.6841891541666666,3.525349208333333,0.0,23.487312916666667,-19.217031525,-5.311443416666666,1.0411682083333336,23.487312916666667,-19.217031525,-5.311443416666666,1.0411682083333336,4.741158584166667,4.8818385,5.0509160416666665,5.2920430000000005,5.524345375,5.844181,6.3034502083333335,7.126216875,8.684964458333333,9.916888250000001,10.24067875,10.271323333333333,10.1817325,10.124430833333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8745601041666666,3.662093008333333,3.613287058333333,0.7390258583333335
6,2001-01-07,93.95126383333333,0.7975774583333334,0.5754502541666667,3.525349208333333,0.0,16.232353749999998,-17.12928951625,-12.168674333333334,13.065613749999999,16.232353749999998,-17.12928951625,-12.168674333333334,13.065613749999999,3.6964379004666665,4.305079083333333,4.817155166666667,5.3082861249999995,5.655124708333333,6.06871025,6.498613958333333,7.183293625,8.466676041666666,9.674415541666667,10.105214166666666,10.230085416666666,10.185523333333334,10.140266666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.9207535625,0.7975743958333333,1.1090812833333332,0.6240047416666666
7,2001-01-08,83.30690633333333,-0.3812962916666667,0.5346187916666666,3.525349208333333,0.0,4.826454999999998,-12.331842758333332,-8.006786541666667,15.512176666666667,4.826454999999998,-12.331842758333332,-8.006786541666667,15.512176666666667,2.3787995,3.1421419499999996,3.813864333333333,4.497576375,4.999412416666667,5.602572125000001,6.195630416666667,7.073370583333333,8.311855375,9.471945416666665,9.970390791666667,10.17471,10.180471666666667,10.1521125,0.0,0.0,0.0,0.0,0.0,0.0,0.3527600333333334,-0.38129803333333334,-0.16333896666666672,0.5717819166666667
8,2001-01-09,96.47066654166667,-0.477738,0.5354327541666667,3.525349208333333,0.013229166666666667,14.86883916666667,-14.512047670833333,-9.916861860833334,9.560069166666667,14.86883916666667,-14.512047670833333,-9.916861860833334,9.560069166666667,2.3543879166666666,2.9380874916666664,3.482572,4.080818166666667,4.553250708333334,5.14296475,5.786273958333333,6.783456125,8.126420333333334,9.293451916666667,9.842101916666666,10.110718333333333,10.167177083333334,10.158984166666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5008469083333332,-0.5649629291666668,-0.18854773625,0.578952075
9,2001-01-10,100.11680095833334,1.51097725,0.6047176583333334,3.525349208333333,0.0396875,9.733497083333333,-6.888541529166667,3.8115276666666666,-6.6564880833333335,9.733497083333333,-6.888541529166667,3.8115276666666666,-6.6564880833333335,2.6380970125,3.0797703958333336,3.5261332499999996,4.038823375,4.455425333333333,4.982325291666666,5.579176625,6.526930458333333,7.912644666666666,9.12118525,9.718268041666667,10.041497083333333,10.1465675,10.160499166666666,0.0,0.0,0.0,0.0,0.0,0.0,1.8106170083333335,-1.9330050312499998,1.0620524875000001,0.6349549083333333
