,DATE,EVAPN,RUNOFF,SEDIMENT,TTL_SWC,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,WTR_14,WTR_15,WTR_16,WTR_17,WTR_18,WTR_19,WTR_20,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,ICE_14,ICE_15,ICE_16,ICE_17,ICE_18,ICE_19,ICE_20,SURF_ICE,ACTV_LYR,WTR_TBL
0,2001-01-01,-0.022996834041666667,0.0,0.0,984.1484875,-0.3079218875,0.0,0.19405657499999998,0.2955663416666667,0.3037713208333333,0.3063637833333333,0.30692270416666667,0.26990284166666667,0.27087497083333334,0.35728022916666663,0.346021025,0.35200648333333334,0.35800024999999996,0.3639912,0.3641711375,0.37554050833333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053360023895013846,0.00025610394841666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.399671875
1,2001-01-02,-0.014989000929166668,0.0,0.0,988.9712375,-0.1744039875,0.0,0.15862069166666667,0.2765505125,0.29762086666666665,0.3036099291666667,0.30570040833333334,0.269868375,0.26980485000000004,0.3576398708333333,0.3460919791666666,0.35202126666666667,0.3580028,0.36399336250000003,0.36489190416666667,0.389043075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092996837419875,0.019644407958333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.4000006666666667
2,2001-01-03,-0.016401201216666664,0.0,0.0,992.2648916666667,-0.13411585833333334,0.0,0.1776742166666667,0.26976687083333334,0.29390764583333334,0.3006131208333333,0.303240125,0.26918830416666667,0.2689275583333333,0.3577182125,0.3461742291666667,0.3520386916666667,0.35800642083333334,0.3640296291666667,0.36602134166666667,0.39720869583333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015302361308438749,0.02520503204666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.3999996666666665
3,2001-01-04,-0.016701055579166665,0.0,0.0,994.7470625000001,-0.10877011666666668,0.0,0.22505557916666666,0.280276725,0.2920538875,0.29866590416666666,0.30154159166666666,0.2682018375,0.26841577499999997,0.35767137916666664,0.3462470958333333,0.35205806666666667,0.35801419166666665,0.3641124,0.3672906583333333,0.40318564166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024753636150392572,0.005013859733994189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.3999995833333334
4,2001-01-05,-0.024723563710416663,0.0,0.0,996.6401833333333,-0.09312142333333333,0.0,0.261049025,0.27746343749999997,0.28991655833333335,0.29677617916666665,0.2999162,0.2671924125,0.26792879583333334,0.3575821708333333,0.34630462083333335,0.35207950416666667,0.35802835000000005,0.3642386833333333,0.3685241791666667,0.4079423375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00882050573163108,9.883322875e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.4000000416666665
5,2001-01-06,-0.028064607975,0.0,0.0,998.1026041666668,-0.082468685,0.0,0.261378775,0.27487029583333333,0.28771824166666665,0.29483771666666664,0.29808338333333334,0.2662695333333333,0.2674411666666667,0.35746836666666665,0.34634585416666663,0.35210094583333335,0.35805052083333333,0.3644011833333333,0.3697196166666667,0.41190360833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023294865023101552,9.882640374999999e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.400000083333333
6,2001-01-07,-0.025015039308333334,0.0,0.0,999.3482,-0.07516863124999999,0.0,0.25687792083333333,0.2712851416666667,0.2853989375,0.29329947083333335,0.29691867083333334,0.2653182333333333,0.266931975,0.3573387791666667,0.34637085833333336,0.35212242083333334,0.3580819791666667,0.36460739999999997,0.37109950416666665,0.41509860000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005087336283961984,9.881953875e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.4
7,2001-01-08,-0.0180128628125,0.0,0.0,1000.56175,-0.06955167541666667,0.0,0.24484858750000002,0.26713235,0.28318363333333335,0.291558875,0.2955712375,0.26439795,0.26637944583333334,0.3571983625,0.3463804291666666,0.3521438708333333,0.35812367083333335,0.3648511208333333,0.37241922916666664,0.41792322916666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006723522447482831,9.881297833333333e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.400000083333333
8,2001-01-09,-0.021191472670833333,0.0,0.0,1001.7090416666666,-0.06496493791666667,0.013259612499999998,0.235015725,0.2643377833333333,0.281253575,0.29015345416666666,0.29419449583333335,0.2634511,0.2657895375,0.3570453375,0.3463752916666667,0.35216532500000003,0.35817070833333337,0.3651497666666667,0.37359425416666664,0.4205272416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016258062054646534,9.880686125e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.4000001666666666
9,2001-01-10,-0.010066700616666667,0.0,0.0,1004.06925,-0.06115850625,0.6742013133333332,0.26317409166666667,0.2650700166666667,0.2799371958333333,0.28881728749999996,0.29298194166666663,0.26259717916666664,0.26521479583333335,0.35686766666666664,0.3463587291666667,0.35218678333333336,0.35823075,0.3654840625,0.37476786666666667,0.4228479375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013461352437650528,9.88008875e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-2.4000000416666665
