,DATE,RADN,TMAX_AIR,TMIN_AIR,HMAX_AIR,HMIN_AIR,WIND,PRECN,TMAX_SOIL_1,TMIN_SOIL_1,TMAX_SOIL_2,TMIN_SOIL_2,TMAX_SOIL_3,TMIN_SOIL_3,TMAX_SOIL_4,TMIN_SOIL_4,TMAX_SOIL_5,TMIN_SOIL_5,TMAX_SOIL_6,TMIN_SOIL_6,TMAX_SOIL_7,TMIN_SOIL_7,TMAX_SOIL_8,TMIN_SOIL_8,TMAX_SOIL_9,TMIN_SOIL_9,TMAX_SOIL_10,TMIN_SOIL_10,TMAX_SOIL_11,TMIN_SOIL_11,TMAX_SOIL_12,TMIN_SOIL_12,TMAX_SOIL_13,TMIN_SOIL_13,TMAX_SOIL_14,TMIN_SOIL_14,TMAX_LITTER,TMIN_LITTER,ECND_1,ECND_2,ECND_3,ECND_4,ECND_5,ECND_6,ECND_7,ECND_8,ECND_9,ECND_10,ECND_11,ECND_12,TTL_SALT_DISCHG
10,11012001.0,7.525189,6.872879,-2.282282,0.7921899,0.4351069,304.6488,0.0,11.7243,-0.420929,8.63446,0.9451294,6.956146,2.03299,6.082336,3.078613,5.757416,3.799835,5.658447,4.599731,5.881226,5.302795,6.431915,6.304596,7.806122,7.625549,9.037994,8.873993,9.6586,9.538452,10.00656,9.933472,10.13467,10.10526,10.15933,10.15253,16.19397,-3.47403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12012001.0,8.739968,-0.349343,-5.564268,0.5257087,0.3584645,310.8099,2.54,8.92099,-1.084106,6.476013,0.4980469,5.425598,1.783417,5.000641,2.989655,5.218231,3.775635,5.615082,4.599792,5.884247,5.289642,6.387604,6.233002,7.624054,7.490448,8.872284,8.72226,9.537201,9.420013,9.932709,9.857697,10.10492,10.07089,10.15244,10.14014,9.305634,-5.310883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13012001.0,5.523043,1.317323,-4.063434,0.5923261,0.4008357,313.2281,7.62,1.811096,-0.5925598,2.268921,0.9058228,2.729889,2.041199,3.42276,2.922516,4.138885,3.55246,4.901398,4.227905,5.462524,4.877899,6.232056,5.906281,7.488953,7.317169,8.720734,8.578247,9.418793,9.305695,9.856903,9.779602,10.0705,10.03189,10.13995,10.12268,0.6498108,-3.124054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14012001.0,3.768916,-1.460454,-4.018258,0.485119,0.4021791,313.1647,0.0,1.837067,1.621582,2.302429,2.171295,2.757294,2.678131,3.266693,3.230255,3.696136,3.652069,4.240692,4.172211,4.876923,4.755341,5.903198,5.686951,7.315033,7.114441,8.576752,8.429626,9.304535,9.192505,9.778778,9.70105,10.03143,9.989197,10.12247,10.10034,0.6541138,0.31604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15012001.0,5.333638,-0.904899,-5.567048,0.5050469,0.3583902,312.2102,0.0,2.352661,1.473846,2.63916,2.036926,2.962769,2.557465,3.364319,3.113556,3.700439,3.54303,4.170959,4.067383,4.754059,4.639984,5.68515,5.522552,7.112427,6.931091,8.42807,8.279297,9.191284,9.0784,9.700226,9.621124,9.988739,9.942932,10.1001,10.07303,1.78476,0.1731262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16012001.0,5.069305,-3.127121,-6.075665,0.4295012,0.3449763,310.7349,0.0,2.310974,1.706573,2.617188,2.237335,2.951477,2.71756,3.362549,3.221436,3.701416,3.608948,4.137848,4.082458,4.655853,4.604065,5.521362,5.420715,6.929321,6.774506,8.277771,8.133545,9.077209,8.964355,9.62027,9.540131,9.942413,9.893494,10.07269,10.04181,1.733582,0.5244141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17012001.0,5.811482,1.317323,-7.048423,0.5923261,0.3205725,312.0096,0.0,2.302246,1.497894,2.627319,2.067932,2.948059,2.575195,3.319244,3.103088,3.663788,3.504089,4.10437,3.985565,4.604675,4.504181,5.41983,5.313019,6.77301,6.63913,8.13205,7.995911,8.963165,8.851776,9.539307,9.457397,9.892944,9.840881,10.04147,10.00665,1.654175,0.223175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18012001.0,7.91695,0.761768,-11.45815,0.5693237,0.2198786,317.0184,0.0,2.29245,1.269928,2.628906,2.031158,2.953003,2.555145,3.329132,3.080109,3.640137,3.471497,4.039459,3.935852,4.515381,4.42868,5.312103,5.219879,6.637756,6.516022,7.994507,7.866272,8.850586,8.741913,9.456573,9.374542,9.840302,9.785736,10.00629,9.968079,1.709534,-0.4730225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19012001.0,10.23249,-12.57157,-17.06788,0.2091749,0.1457667,320.4672,0.0,1.181244,-0.2362671,2.063965,0.6324158,2.652557,1.396149,3.149506,2.167114,3.505096,2.725708,3.939453,3.392853,4.428162,4.049011,5.218933,5.027802,6.514771,6.388458,7.86496,7.743011,8.740814,8.635284,9.373657,9.290771,9.785156,9.728088,9.967651,9.926056,0.2311096,-1.722961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20012001.0,7.688144,1.317323,-17.49588,0.5923261,0.1407475,316.9882,0.0,0.8219604,-0.3294983,1.166046,0.4710693,1.593658,1.165314,2.156342,1.889008,2.716431,2.431366,3.385895,3.056549,4.044159,3.703766,5.024994,4.726959,6.386902,6.215454,7.741791,7.618073,8.634186,8.530762,9.289886,9.207306,9.727509,9.668549,9.925629,9.881042,0.507019,-1.867004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
