,DATE,PRECN,ET,RUNOFF,WATER,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,SURF_ICE,PSI_1,PSI_2,PSI_3,PSI_4,PSI_5,PSI_6,PSI_7,PSI_8,PSI_9,PSI_10,TILE_DRG,SEDIMENT,PSI_SURF,SURF_ELEV,ACTV_LYR,WTR_TBL
10,11012001.0,1.27,5.25508,0.0,1005.599,-29.52388,0.0,0.2737054,0.2781504,0.2811707,0.287515,0.2915859,0.2615364,0.2645828,0.3565472,0.3463245,0.3522185,0.3583487,0.3660467,0.4256639,0.0,9.294045e-16,9.879192e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07229982,-0.06524117,-0.06011056,-0.05059821,-0.04540248,-0.03898521,-0.0354872,-0.03336725,-0.03248883,-0.03265172,0.0,0.0,-0.08449849,0.01653802,-9999.017,-2.4
11,12012001.0,3.81,5.804958,0.0,1008.935,-30.86987,22.17812,0.2446161,0.2705028,0.2803575,0.2871716,0.2910769,0.2608956,0.2641821,0.3563148,0.3462947,0.35224,0.358448,0.3664418,0.4274827,0.0,0.0152525,9.878614e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1691667,-0.08063234,-0.06141347,-0.0510608,-0.046018,-0.03972474,-0.03587248,-0.0335586,-0.03253539,-0.03261776,0.0,0.0,-0.2455716,0.01644056,-9999.017,-2.400001
12,13012001.0,11.43,5.670208,0.0,1017.982,-32.1625,86.55295,0.2694578,0.2681468,0.2788203,0.2863855,0.2904355,0.2603049,0.2637873,0.3560737,0.3462601,0.3522614,0.3585607,0.3668389,0.4292905,0.0,9.787086e-16,9.878076e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08376775,-0.08673379,-0.06408407,-0.05214495,-0.04680362,-0.04042055,-0.03625674,-0.03375817,-0.0325895,-0.03258378,0.0,0.0,-0.07953313,0.01635553,-9999.017,-2.4
13,14012001.0,11.43,5.506005,0.0,1019.395,-33.41142,84.50514,0.2812075,0.2757214,0.2792366,0.2857021,0.289697,0.2597275,0.2633954,0.3558204,0.3462208,0.3522848,0.3586862,0.3672759,0.4306377,0.0,9.78921e-16,9.87754e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06009964,-0.06999568,-0.06339417,-0.05312139,-0.04773161,-0.04111365,-0.03664276,-0.03396933,-0.03265101,-0.0325467,0.0,0.0,-0.05776469,0.01626392,-9999.017,-2.4
14,15012001.0,11.43,5.381186,0.0,1020.736,-34.62712,82.30137,0.2807168,0.2800595,0.2810929,0.2857352,0.2892812,0.2591853,0.2630065,0.3555562,0.3461769,0.3523099,0.3588245,0.3677251,0.4319626,0.0,9.791299e-16,9.877039e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06081782,-0.06197027,-0.06024339,-0.053084,-0.04826832,-0.04177775,-0.03703048,-0.03419121,-0.03271978,-0.03250716,0.0,0.0,-0.06067428,0.01615811,-9999.017,-2.4
15,16012001.0,11.43,5.262819,0.0,1022.037,-35.81023,80.59645,0.280761,0.2809575,0.2824745,0.2861027,0.2892435,0.2587506,0.2626306,0.3552837,0.3461286,0.352335,0.358974,0.3681714,0.433334,0.0,9.793372e-16,9.876551e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06077297,-0.06045199,-0.05800288,-0.05255913,-0.04831929,-0.04231966,-0.03740914,-0.03442205,-0.0327958,-0.03246752,0.0,0.0,-0.06086222,0.01604926,-9999.016,-2.4
16,17012001.0,11.43,5.166603,0.0,1023.285,-36.96178,76.55102,0.2814907,0.2817818,0.2834159,0.2864226,0.2892811,0.2584269,0.2622372,0.3550264,0.346073,0.35236,0.3591329,0.3686119,0.4347324,0.0,9.795367e-16,9.876075e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05957546,-0.05910289,-0.05652865,-0.05211169,-0.04827191,-0.0427283,-0.03781149,-0.03464131,-0.03288352,-0.03242821,0.0,0.0,-0.05967689,0.0159396,-9999.016,-2.4
17,18012001.0,11.43,5.111639,0.0,1024.465,-38.08742,71.84151,0.2847093,0.2837462,0.2842046,0.2868004,0.2893931,0.2581912,0.2619067,0.3547618,0.3460152,0.3523866,0.3593005,0.3690865,0.4356673,0.0,9.797302e-16,9.875598e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05444491,-0.05604177,-0.05533822,-0.05158625,-0.04812924,-0.04302895,-0.0381534,-0.03486838,-0.03297501,-0.03238636,0.0,0.0,-0.05450706,0.01583218,-9999.016,-2.4
18,19012001.0,11.43,5.173909,0.0,1025.51,-39.19398,70.534,0.2663469,0.2789409,0.2841198,0.2871219,0.2895454,0.2580308,0.261626,0.3544973,0.3459544,0.3524138,0.3594841,0.3695723,0.4366639,0.0,0.003981861,9.875122e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08990117,-0.06368507,-0.05542569,-0.05113809,-0.04793422,-0.04323501,-0.03844639,-0.03509716,-0.03304006,-0.0323435,0.0,0.0,-0.1055713,0.01577359,-9999.016,-2.400001
19,20012001.0,11.43,5.187464,0.0,1026.177,-39.87484,66.90343,0.2535845,0.2704861,0.2814798,0.2867432,0.2894504,0.2579545,0.2622419,0.3542742,0.3458886,0.3524375,0.3597167,0.3701437,0.4377502,0.0,0.001935864,9.874659e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1291116,-0.08074706,-0.05953157,-0.05165092,-0.04805041,-0.04333455,-0.03785564,-0.03529233,-0.03309883,-0.03230651,0.0,0.0,-0.1866239,0.01574068,-9999.016,-2.400001
20,21012001.0,11.43,5.279972,0.0,1026.386,-40.17571,63.73123,0.212656,0.2611654,0.2788084,0.2858226,0.2890684,0.2581036,0.2637721,0.3542731,0.3458244,0.3524665,0.3599575,0.3706881,0.4388833,0.0,0.007297103,9.874253e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4952733,-0.1058275,-0.06406624,-0.05293668,-0.04853775,-0.04314463,-0.03629546,-0.03529499,-0.03315641,-0.03226081,0.0,0.0,-1.30007,0.0157255,-9999.016,-2.400001
