,DATE,SOL_RADN,AIR_TEMP,HUM,WIND,PREC,SOIL_RN,SOIL_LE,SOIL_H,SOIL_G,ECO_RN,ECO_LE,ECO_H,ECO_G,TEMP_1,TEMP_2,TEMP_3,TEMP_4,TEMP_5,TEMP_6,TEMP_7,TEMP_8,TEMP_9,TEMP_10,TEMP_11,TEMP_12,TEMP_13,TEMP_14,TEMP_15,TEMP_16,TEMP_17,TEMP_18,TEMP_19,TEMP_20,TEMP_LITTER,TEMP_SNOW
0,2001-01-01,82.17989458333334,-14.807388333333334,0.18045224583333333,3.525349208333333,0.0,-30.831181666666666,-15.747478916666667,-54.47620466666667,101.05486770833333,-30.831181666666666,-15.747478916666667,-54.47620466666667,101.05486770833333,-0.16568368287500013,4.154174847916667,6.910328541666666,8.977349041666667,9.986347083333333,10.886905708333332,11.205191416666667,11.383064166666665,11.13807875,10.743707916666667,10.412067083333334,10.2469475,10.077342916666668,10.024379166666668,0.0,0.0,0.0,0.0,0.0,0.0,-9.4573335375,-14.807385416666667
1,2001-01-02,94.013648,-11.458358291666668,0.24578392500000001,3.525349208333333,0.0,-5.6605221666666665,-10.26427101,-23.053925629166667,38.97871541666667,-5.6605221666666665,-10.26427101,-23.053925629166667,38.97871541666667,-2.877098116666667,-0.11938604191666667,1.6819712916666667,3.621560458333333,5.057061541666667,6.770696,8.259558291666666,10.165878625,10.93714625,10.744565416666667,10.46470875,10.261947916666667,10.104653749999999,10.044398750000001,0.0,0.0,0.0,0.0,0.0,0.0,-9.121829983333333,-11.458354833333333
2,2001-01-03,101.13232041666667,-5.878653458333333,0.38731164166666665,3.525349208333333,0.0,11.327744583333333,-11.231272408333334,-13.772742741666667,13.676272500000001,11.327744583333333,-11.231272408333334,-13.772742741666667,13.676272500000001,-1.1509729708333334,-0.0029780154166666687,1.2500115,2.6583239583333333,3.7594235416666666,5.123509708333333,6.536090916666667,8.615056333333333,10.343725833333334,10.6574625,10.479353333333334,10.28302625,10.129242083333333,10.065109166666668,0.0,0.0,0.0,0.0,0.0,0.0,-4.5693782625,-5.878653441666667
3,2001-01-04,95.2967335,0.8975295833333333,0.5866730041666667,3.525349208333333,0.0,21.566360833333334,-11.436486425,-1.3849556666666667,-8.744915708333334,21.566360833333334,-11.436486425,-1.3849556666666667,-8.744915708333334,1.7033056,2.1454416708333333,2.622043666666667,3.2799517916666665,3.8960392916666664,4.726808,5.802716541666666,7.573961874999999,9.643538208333334,10.458029999999999,10.445247499999999,10.297153333333334,10.151533333333333,10.085828333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5653001708333334,0.8975245666666666
4,2001-01-05,94.174456625,2.3200397083333333,0.6332019791666667,3.525349208333333,0.0,21.49655458333333,-16.930124452083334,-6.39352,1.8270947083333333,21.49655458333333,-16.930124452083334,-6.39352,1.8270947083333333,3.721090966666667,3.9400355625,4.1865425,4.5338885,4.868825375,5.330523208333333,5.99302025,7.164763083333334,9.060083958333333,10.190613749999999,10.360932916666668,10.294605416666666,10.169905416666667,10.105915,0.0,0.0,0.0,0.0,0.0,0.0,2.7806919791666664,2.3200377291666667
5,2001-01-06,93.05621925000001,3.662090958333333,0.6841891541666666,3.525349208333333,0.0,23.485808333333335,-19.218186360416667,-5.304978083333334,1.0373514166666657,23.485808333333335,-19.218186360416667,-5.304978083333334,1.0373514166666657,4.741528882916667,4.882172791666666,5.050875333333333,5.291594166666667,5.523667708333334,5.843231125,6.3023032500000005,7.124994875,8.68388625,9.916629958333333,10.2406925,10.271442500000001,10.181867500000001,10.124445833333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8755872,3.662093008333333
6,2001-01-07,93.95126383333333,0.7975774583333334,0.5754502541666667,3.525349208333333,0.0,16.232834583333336,-17.129868989583333,-12.159177999999999,13.056212916666667,16.232834583333336,-17.129868989583333,-12.159177999999999,13.056212916666667,3.6985535200833333,4.304651916666667,4.8168563749999995,5.3079884999999996,5.654760958333333,6.068292,6.4980253333333335,7.182540958333333,8.465811416666666,9.674205708333334,10.105175416666667,10.23026625,10.18565,10.140232083333332,0.0,0.0,0.0,0.0,0.0,0.0,1.9244986125,0.7975743958333333
7,2001-01-08,83.30690633333333,-0.3812962916666667,0.5346187916666666,3.525349208333333,0.0,4.823922499999998,-12.334950329166666,-7.9965689583333335,15.507598333333334,4.823922499999998,-12.334950329166666,-7.9965689583333335,15.507598333333334,2.3806496,3.1402384,3.8123423333333335,4.496287041666666,4.998271833333333,5.601580333333334,6.194747916666667,7.072570666666667,8.3111115,9.471969583333333,9.970428708333333,10.174799166666666,10.180629999999999,10.152018333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.35706359166666674,-0.38129803333333334
8,2001-01-09,96.47066654166667,-0.477738,0.5354327541666667,3.525349208333333,0.013229166666666667,14.85435125,-14.5116369375,-9.905675785,9.562960416666666,14.85435125,-14.5116369375,-9.905675785,9.562960416666666,2.355017279166667,2.9371502,3.4815330833333333,4.079700458333334,4.5521545833333334,5.14188125,5.785299916666666,6.782657625,8.125832875,9.293636375,9.842101999999999,10.110807083333333,10.167366666666666,10.158856666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5044900458333331,-0.5649833041666668
9,2001-01-10,100.11680095833334,1.51097725,0.6047176583333334,3.525349208333333,0.0396875,9.725654583333336,-6.893386970833333,3.813619475,-6.645886625,9.725654583333336,-6.893386970833333,3.813619475,-6.645886625,2.6383004541666666,3.0795021291666664,3.5258064166666667,4.038461,4.455108666666667,4.982031541666667,5.578871333333333,6.526462541666667,7.912108166666666,9.12143975,9.718357124999999,10.041667916666666,10.146811666666666,10.160408333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.8086405499999998,-1.9331079916666667
