,DATE,EVAPN,RUNOFF,SEDIMENT,TTL_SWC,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_14,WTR_15,WTR_16,WTR_17,WTR_18,WTR_19,WTR_20,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,ICE_14,ICE_15,ICE_16,ICE_17,ICE_18,ICE_19,ICE_20,SURF_ICE
0,1998-01-01,-0.009346406041666666,0.0,0.0,1423.3744166666665,0.7935742916666667,1.4916138875,0.19986569166666668,0.4135404458333333,0.4269009666666667,0.44548730416666665,0.4636420083333333,0.49039869166666666,0.5122534041666666,0.5098800916666667,0.5104844375,0.5108923291666666,0.5111418958333334,0.51126045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26071661041666666,0.027433021875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00099039165875
1,1998-01-02,0.009312812670833334,0.0,0.0,1410.0277916666666,0.7466331500000001,6.742549958333334,0.15855861666666668,0.37714979583333336,0.38229270833333334,0.39128257083333334,0.40209877916666664,0.41531456666666666,0.4539959875,0.5031081833333333,0.5104965458333334,0.5108995083333333,0.5111477249999999,0.5112639875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2678823833333333,0.106071535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1998-01-03,0.018788571666666667,0.0,0.0,1393.9675416666666,0.6467098041666667,6.1086872083333335,0.21056409583333333,0.35277263333333336,0.35826355833333334,0.36672950416666666,0.37619138750000003,0.38714614583333334,0.4313924,0.46506167083333333,0.5105312083333333,0.51091685,0.5111564083333333,0.5112640125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22109432083333333,0.048775333750000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1998-01-04,0.0029463134166666668,0.0,0.0,1379.5357083333336,0.5799637541666667,4.904521208333334,0.2113521416666667,0.3294036083333333,0.3366344875,0.3479418375,0.3589389041666667,0.37003185,0.4176914,0.43788475833333335,0.5048441208333333,0.5109226291666666,0.5111590958333333,0.5112640041666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943569625,0.0021622230237217364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1998-01-05,0.009814689541666666,0.0,0.0,1377.2787500000002,0.5152067416666667,15.744481708333334,0.19049190833333332,0.3180875166666667,0.32348733749999997,0.3325860916666667,0.34203839583333334,0.3518453416666667,0.40260711666666665,0.4253511458333334,0.48635626249999997,0.5109297625,0.5111626666666667,0.5112640166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650299625,1.1968611666666667e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1998-01-06,0.00905587245,0.0,0.0,1386.0115833333332,0.4511276458333333,36.05504833333333,0.20512778333333334,0.3039926333333333,0.31184166666666663,0.3213420875,0.330480025,0.34037532083333333,0.3947550416666667,0.41657138749999995,0.465098025,0.5109353666666666,0.511165525,0.511264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112209575,1.0600641583333333e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1998-01-07,0.010294054583333333,0.0,0.0,1384.6967083333332,0.3916894458333333,44.78370666666667,0.22183509166666668,0.28408631666666667,0.2991032375,0.31258244166666665,0.32322917916666666,0.33454479583333335,0.3931084875,0.40985258333333335,0.4445433458333334,0.5109406541666667,0.5111681625000001,0.5112640166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05282237125,8.30152275e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1998-01-08,0.010937726833333333,0.0,0.0,1388.2835833333331,0.315682425,56.890514583333335,0.22881533750000002,0.2655302291666667,0.28777451666666665,0.30658635416666663,0.3190434375,0.331351425,0.39034935,0.4042807083333333,0.4284133666666667,0.5100486541666667,0.511170075,0.5112639833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005140269262499999,3.621422e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1998-01-09,0.011310078833333334,0.0,0.0,1405.5142916666666,0.27362679166666665,81.06972708333333,0.24308005833333335,0.26075504583333337,0.2816888708333333,0.30239835416666666,0.31445335,0.3251910625,0.3825641583333333,0.3986934833333333,0.420214675,0.5065505375,0.5111709666666667,0.511264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063767545,2.0343903333333333e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1998-01-10,0.011051510708333332,0.0,0.0,1409.3779166666666,0.24203683333333334,91.12460041666667,0.2648478208333333,0.26992300416666665,0.2817158125,0.299044825,0.30940410833333337,0.3184491625,0.37450721249999996,0.39319781249999997,0.4151461916666666,0.5014181166666667,0.5111724833333333,0.511264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005228002625000001,2.8120740304166664e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
